_id,created_ID,date,title
61117c55d6f9d1d8a1249a5d,2330466220,2017 - 2019,"EU Marie Skłodowska-Curie Actions (MSCA) Individual Fellow, College of Engineering, Swansea University, UK"
61117c56d6f9d1d8a1249a78,2330466220,2015 - 2017,"Japan Society for the Promotion of Science (JSPS) Fellow, Department of Urban Engineering, University of Tokyo, Japan"
61117c56d6f9d1d8a1249a79,2330466220,2014 - 2014,"Australian Endeavour Research Fellow, School of Energy, Environment, Biological, and Medical Engineering, University of Cincinnati, USA"
61117c56d6f9d1d8a1249a7a,2330466220,2011 - 2013,"Research Associate, National Centre of Excellence for Desalination, Australia"
61117c7cd6f9d1d8a124a067,5066844442,2001 - 2013,"Lecturer and PG Programme Director, Chemical Engineering and Applied Chemistry, Aston University"
61117c7cd6f9d1d8a124a068,5066844442,1999 - 2001,"Research Fellow, Imperial College and UCL, London"
61117c7cd6f9d1d8a124a069,5066844442,1994 - 1999,"Lecturer in Applied Chemistry, School of Science and Engineering, University of Abertay, Dundee"
61117c7dd6f9d1d8a124a085,5066844442,1988 - 1994,"Research Officer, Schools of Chemistry and Chemical Engineering, University of Bath"
61117c98d6f9d1d8a124a4ea,7075355064,March 2018 - Present,"Associate Professor, Swansea University"
61117c98d6f9d1d8a124a4eb,7075355064,September 2011 - March 2018,"Senior Lecturer, Swansea University"
61117c98d6f9d1d8a124a4ec,7075355064,November 2007 - September 2011,"Lecturer , IHE Delft, The Netherlands"
61117c98d6f9d1d8a124a50b,7075355064,September 2002 - July 2003,"Research Assistant , McGill University, Canada"
61117c98d6f9d1d8a124a50c,7075355064,April 1997 - August 2002,"Flood Management Engineer, Bureau of Hydrology of the Ministry of Water Resources, China"
61117cabd6f9d1d8a124a7d9,3793088014,2015 - Present,"Associate Professor, College of Engineering, Swansea University"
61117cabd6f9d1d8a124a7da,3793088014,2007 - 2015,"HPC Research Manager, College of Engineering, Swansea University"
61117cacd6f9d1d8a124a7fa,3793088014,2004 - 2007,"Research Officer, Department of Civil Engineering, University of Wales Swansea"
61117cacd6f9d1d8a124a7fb,3793088014,1999 - 2004,"Senior Research Assistant, Department of Civil Engineering, University of Wales Swansea"
61117cacd6f9d1d8a124a7fc,3793088014,1995 - 1999,"Research Assistant, Department of Civil Engineering, University of Wales Swansea"
