_id,authors,created_ID,doi,em,issue,page_end,page_start,publisher,su,title,volume,year
61117c3bd6f9d1d8a1249621,"Balla, K., Sevilla, R., Hassan, O., & Morgan, K. ",4372053126,https://doi.org/10.1016/j.apm.2021.03.019,Applied Mathematical Modelling,Null,479,456,Null,https://cronfa.swan.ac.uk/Record/cronfa56398,An application of neural networks to the prediction of aerodynamic coefficients of aerofoils and wings. ,96,(2021). 
61117c3bd6f9d1d8a1249624,"Low, K., Lee, C., Gil, A., Haider, J., & Bonet, J. ",2628949666,https://doi.org/10.1007/s40571-020-00374-x,Computational Particle Mechanics,(4),892,859,Null,https://cronfa.swan.ac.uk/Record/cronfa55406,A parameter-free total Lagrangian smooth particle hydrodynamics algorithm applied to problems with free surfaces. ,8,(2021). 
61117c3bd6f9d1d8a124962a,"Spieser, H., Jardin, A., Deganello, D., Gethin, D., Bras, J., & Denneulin, A. ",7030813027,https://doi.org/10.1007/s10853-021-06082-y,Journal of Materials Science,(21),12538,12524,Null,https://cronfa.swan.ac.uk/Record/cronfa56873,Rheology of cellulose nanofibrils and silver nanowires for the development of screen-printed antibacterial surfaces. ,56,(2021). 
61117c3bd6f9d1d8a124962d,"Gansen, A., El Hachemi, M., Belouettar, S., Hassan, O., & Morgan, K. ",4372053126,https://doi.org/10.1007/s00466-020-01930-1,Computational Mechanics,(1),263,251,Null,https://cronfa.swan.ac.uk/Record/cronfa55432,EM modelling of arbitrary shaped dispersive chiral dielectric objects using a 3D leapfrog scheme on unstructured meshes. ,67,(2021). 
61117c3bd6f9d1d8a1249632,"Ghavamian, A., Lee, C., Gil, A., Bonet, J., Heuzé, T., & Stainier, L. ",2628949666,https://doi.org/10.1016/j.cma.2021.113736,Computer Methods in Applied Mechanics and Engineering,Null,Null,113736,Null,https://cronfa.swan.ac.uk/Record/cronfa56268,An entropy-stable Smooth Particle Hydrodynamics algorithm for large strain thermo-elasticity. ,379,(2021). 
61117c3bd6f9d1d8a1249638,"Claypole, A., Claypole, J., Kilduff, L., Gethin, D., & Claypole, T. ",7030813027,https://doi.org/10.3390/nano11051200,Nanomaterials,(5),Null,1200,Null,https://cronfa.swan.ac.uk/Record/cronfa56762,Stretchable Carbon and Silver Inks for Wearable Applications. ,11,(2021). 
61117c3bd6f9d1d8a124963b,"Komala Sheshachala, S., Sevilla, R., & Hassan, O. ",4372053126,https://doi.org/10.1016/j.compfluid.2020.104495,Computers & Fluids,Null,Null,104495,Null,https://cronfa.swan.ac.uk/Record/cronfa53737,A coupled HDG-FV scheme for the simulation of transient inviscid compressible flows. ,202,(2020). 
61117c3bd6f9d1d8a1249645,"Bonet, J. & Gil, A.",2628949666,https://doi.org/10.1007/s10704-021-00541-y,International Journal of Fracture,Null,Null,Null,Null,https://cronfa.swan.ac.uk/Record/cronfa56695,Mathematical models of supersonic and intersonic crack propagation in linear elastodynamics. ,0,(2021). 
61117c3cd6f9d1d8a124964b,"Spieser, H., Tehrani, Z., Ali, M., Ahmadi, E., Denneulin, A., Bras, J., Deganello, D., & Gethin, D. ",7030813027,https://doi.org/10.1039/d0tc04553e,Journal of Materials Chemistry C,Null,Null,Null,Null,https://cronfa.swan.ac.uk/Record/cronfa56470,Metal Organic Framework sensors on flexible substrate for ammonia sensing application at room temperature. ,Null,(2021). 
61117c3cd6f9d1d8a124964e,"Gansen, A., Hachemi, M., Belouettar, S., Hassan, O., & Morgan, K. ",4372053126,https://doi.org/10.1007/s11831-019-09395-z,Archives of Computational Methods in Engineering,Null,Null,Null,Null,https://cronfa.swan.ac.uk/Record/cronfa53095,A 3D Unstructured Mesh FDTD Scheme for EM Modelling. ,Null,(2020). 
61117c3cd6f9d1d8a1249654,"Thompson, J., Hassan, O., Rolland, S., & Sienz, J. ",1669228664,https://doi.org/10.1016/j.powtec.2015.12.001,Powder Technology,Null,85,75,Null,https://cronfa.swan.ac.uk/Record/cronfa26429,The identification of an accurate simulation approach to predict the effect of operational parameters on the particle size distribution (PSD) of powders produced by an industrial close-coupled gas atomiser. ,291,(2016). 
61117c3cd6f9d1d8a1249656,"Marin, F., Martínez-Frutos, J., Ortigosa, R., & Gil, A. ",2628949666,https://doi.org/10.1016/j.cma.2020.113567,Computer Methods in Applied Mechanics and Engineering,Null,Null,113567,Null,https://cronfa.swan.ac.uk/Record/cronfa55636,A Convex Multi-Variable based computational framework for multilayered electro-active polymers. ,374,(2021). 
61117c3cd6f9d1d8a124965c,"Menéndez, M., Martinez, A., Sánchez, P., Gomez, D., Andrés, L., Haponow, L., Bristow, N., Kettle, J., Korochkina, T., & Gethin, D. ",7030813027,https://doi.org/10.1016/j.solener.2020.08.046,Solar Energy,Null,746,738,Null,https://cronfa.swan.ac.uk/Record/cronfa55083,Development of intermediate layer systems for direct deposition of thin film solar cells onto low cost steel substrates. ,208,(2020). 
61117c3cd6f9d1d8a124965f,"Lo, S., Jones, J., Hassan, O., Hilal, N., Hassan, O., Jones, J., & Hilal, N. ",4372053126,https://doi.org/10.1016/j.desal.2019.114127,Desalination,Null,Null,114127,Null,https://cronfa.swan.ac.uk/Record/cronfa51637,Development of an axisymmetric parallel solution algorithm for membrane separation process. ,471,(2019). 
61117c3cd6f9d1d8a1249666,"Bonet, J., Lee, C., Gil, A., & Ghavamian, A. ",2628949666,https://doi.org/10.1016/j.cma.2020.113505,Computer Methods in Applied Mechanics and Engineering,Null,Null,113505,Null,https://cronfa.swan.ac.uk/Record/cronfa55401,A first order hyperbolic framework for large strain computational solid dynamics. Part III: Thermo-elasticity. ,373,(2021). 
61117c3dd6f9d1d8a124966c,"Spieser, H., Denneulin, A., Deganello, D., Gethin, D., Koppolu, R., & Bras, J. ",7030813027,https://doi.org/10.1016/j.carbpol.2020.116305,Carbohydrate Polymers,Null,Null,116305,Null,https://cronfa.swan.ac.uk/Record/cronfa54024,Cellulose nanofibrils and silver nanowires active coatings for the development of antibacterial packaging surfaces. ,240,(2020). 
61117c3dd6f9d1d8a124966f,"Price, M., Nguyen, V., Hassan, O., Morgan, K., & Morgan, K. ",4372053126,https://doi.org/10.1016/j.apm.2017.06.015,Applied Mathematical Modelling,Null,731,715,Null,https://cronfa.swan.ac.uk/Record/cronfa34399,An approach to modeling blast and fragment risks from improvised explosive devices. ,50,(2017). 
