_id,authors,created_ID,doi,em,issue,page_end,page_start,publisher,su,title,volume,year
61117c38d6f9d1d8a12495ba,"Chen, J., Zheng, J., Zheng, Y., Si, H., Hassan, O., & Morgan, K. ",4372053126,https://doi.org/10.1016/j.apm.2017.07.011,Applied Mathematical Modelling,Null,Null,Null,Null,https://cronfa.swan.ac.uk/Record/cronfa34757,Improved Boundary Constrained Tetrahedral Mesh Generation by Shell Transformation. ,Null,(2017). 
61117c39d6f9d1d8a12495bd,"Bonet, J. & Gil, A.",2628949666,https://doi.org/10.1007/s10704-021-00541-y,International Journal of Fracture,Null,Null,Null,Null,https://cronfa.swan.ac.uk/Record/cronfa56695,Mathematical models of supersonic and intersonic crack propagation in linear elastodynamics. ,0,(2021). 
61117c39d6f9d1d8a12495c0,"Feng, Y. ",8911582167,https://doi.org/10.1002/nme.6633,International Journal for Numerical Methods in Engineering,(10),2597,2581,Null,https://cronfa.swan.ac.uk/Record/cronfa56022,A generic energy‐conserving discrete element modeling strategy for concave particles represented by surface triangular meshes. ,122,(2021). 
61117c39d6f9d1d8a12495c1,"Radley, E., Lowe, C., & Gethin, D. ",7030813027,https://doi.org/10.1595/205651318X15232702178344,Johnson Matthey Technology Review,(3),349,341,Null,https://cronfa.swan.ac.uk/Record/cronfa45895,Stress Whitening in Polyester Melamine Coatings. ,62,(2018). 
61117c39d6f9d1d8a12495c2,"Price, M., Nguyen, V., Hassan, O., Morgan, K., & Morgan, K. ",4372053126,https://doi.org/10.1016/j.apm.2017.06.015,Applied Mathematical Modelling,Null,731,715,Null,https://cronfa.swan.ac.uk/Record/cronfa34399,An approach to modeling blast and fragment risks from improvised explosive devices. ,50,(2017). 
61117c39d6f9d1d8a12495c3,"Ghavamian, A., Lee, C., Gil, A., Bonet, J., Heuzé, T., & Stainier, L. ",2628949666,https://doi.org/10.1016/j.cma.2021.113736,Computer Methods in Applied Mechanics and Engineering,Null,Null,113736,Null,https://cronfa.swan.ac.uk/Record/cronfa56268,An entropy-stable Smooth Particle Hydrodynamics algorithm for large strain thermo-elasticity. ,379,(2021). 
61117c39d6f9d1d8a12495c4,"Feng, Y. ",8911582167,https://doi.org/10.1016/j.cma.2021.113750,Computer Methods in Applied Mechanics and Engineering,Null,Null,113750,Null,https://cronfa.swan.ac.uk/Record/cronfa56403,An effective energy-conserving contact modelling strategy for spherical harmonic particles represented by surface triangular meshes with automatic simplification. ,379,(2021). 
61117c39d6f9d1d8a12495c5,"Hughes, L., Bristow, N., Korochkina, T., Sanchez, P., Gomez, D., Kettle, J., & Gethin, D. ",7030813027,https://doi.org/10.1016/j.apenergy.2018.07.119,Applied Energy,Null,223,209,Null,https://cronfa.swan.ac.uk/Record/cronfa43410,Assessing the potential of steel as a substrate for building integrated photovoltaic applications. ,229,(2018). 
61117c39d6f9d1d8a12495c6,"Walton, S., Hassan, O., & Morgan, K. ",4372053126,https://doi.org/10.1016/j.compstruc.2016.06.009,Computers & Structures,Null,88,70,Null,https://cronfa.swan.ac.uk/Record/cronfa29414,Advances in co-volume mesh generation and mesh optimisation techniques. ,181,(2017). 
61117c39d6f9d1d8a12495c7,"Marin, F., Martínez-Frutos, J., Ortigosa, R., & Gil, A. ",2628949666,https://doi.org/10.1016/j.cma.2020.113567,Computer Methods in Applied Mechanics and Engineering,Null,Null,113567,Null,https://cronfa.swan.ac.uk/Record/cronfa55636,A Convex Multi-Variable based computational framework for multilayered electro-active polymers. ,374,(2021). 
61117c39d6f9d1d8a12495c8,"Zhao, T., Feng, Y., Zhang, J., Wang, Z., & Wang, Z. ",8911582167,https://doi.org/10.32604/cmes.2021.015913,Computer Modeling in Engineering & Sciences,(2),735,721,Null,https://cronfa.swan.ac.uk/Record/cronfa56836,Discrete Element Modelling of Dynamic Behaviour of Rockfills for Resisting High Speed Projectile Penetration. ,127,(2021). 
61117c39d6f9d1d8a12495c9,"Malik, T., Malik, F., Clement, R., Gethin, D., Kiernan, M., Goral, T., Griffiths, P., Beynon, D., Parker, A., Gethin, D., Clement, M., & Beynon, D. ",7030813027,https://doi.org/10.1098/rsta.2016.0110,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",(2073),Null,20160110,Null,https://cronfa.swan.ac.uk/Record/cronfa29601,Hierarchical structures of cactus spines that aid in the directional movement of dew droplets. ,374,(2016). 
61117c39d6f9d1d8a12495ca,"Gansen, A., Hachemi, M., Belouettar, S., Hassan, O., Morgan, K., Morgan, K., & Hassan, O. ",4372053126,https://doi.org/10.1007/s00466-016-1295-x,Computational Mechanics,(3),455,441,Null,https://cronfa.swan.ac.uk/Record/cronfa39560,EM modelling of arbitrary shaped anisotropic dielectric objects using an efficient 3D leapfrog scheme on unstructured meshes. ,58,(2016). 
61117c39d6f9d1d8a12495cb,"Low, K., Lee, C., Gil, A., Haider, J., & Bonet, J. ",2628949666,https://doi.org/10.1007/s40571-020-00374-x,Computational Particle Mechanics,(4),892,859,Null,https://cronfa.swan.ac.uk/Record/cronfa55406,A parameter-free total Lagrangian smooth particle hydrodynamics algorithm applied to problems with free surfaces. ,8,(2021). 
61117c39d6f9d1d8a12495cc,"Feng, Y. & Gao, W.",8911582167,https://doi.org/10.1016/j.powtec.2021.05.037,Powder Technology,Null,382,376,Null,https://cronfa.swan.ac.uk/Record/cronfa56877,On the strain energy distribution of two elastic solids under smooth contact. ,389,(2021). 
61117c39d6f9d1d8a12495cf,"Tehrani, Z., Nordli, H., Pukstad, B., Gethin, D., & Chinga-Carrasco, G. ",7030813027,https://doi.org/10.1016/j.indcrop.2016.02.024,Industrial Crops and Products,Null,202,193,Null,https://cronfa.swan.ac.uk/Record/cronfa30248,Translucent and ductile nanocellulose-PEG bionanocomposites—A novel substrate with potential to be functionalized by printing for wound dressing applications. ,93,(2016). 
61117c39d6f9d1d8a12495d2,"Thompson, J., Hassan, O., Rolland, S., & Sienz, J. ",4372053126,https://doi.org/10.1016/j.powtec.2015.12.001,Powder Technology,Null,85,75,Null,https://cronfa.swan.ac.uk/Record/cronfa26429,The identification of an accurate simulation approach to predict the effect of operational parameters on the particle size distribution (PSD) of powders produced by an industrial close-coupled gas atomiser. ,291,(2016). 
61117c39d6f9d1d8a12495d3,"Bonet, J., Lee, C., Gil, A., & Ghavamian, A. ",2628949666,https://doi.org/10.1016/j.cma.2020.113505,Computer Methods in Applied Mechanics and Engineering,Null,Null,113505,Null,https://cronfa.swan.ac.uk/Record/cronfa55401,A first order hyperbolic framework for large strain computational solid dynamics. Part III: Thermo-elasticity. ,373,(2021). 
61117c39d6f9d1d8a12495d4,"Feng, Y. & Feng, Y.",8911582167,https://doi.org/10.1016/j.cma.2020.113454,Computer Methods in Applied Mechanics and Engineering,Null,Null,113454,Null,https://cronfa.swan.ac.uk/Record/cronfa55242,An energy-conserving contact theory for discrete element modelling of arbitrarily shaped particles: Basic framework and general contact model. ,373,(2021). 
61117c39d6f9d1d8a12495d7,"Wang, C., Xia, Y., Friswell, M., & Flores, E. ",6849649489,https://doi.org/10.1016/j.compstruct.2019.111472,Composite Structures,Null,Null,111472,Null,https://cronfa.swan.ac.uk/Record/cronfa52108,Predicting Global Strain Limits for Corrugated Panels. ,Null,(2019). 
