_id,created_ID,degree_type,other_supervisor,title
61117c53d6f9d1d8a1249a00,2330466220,PhD,Prof Vincent Teng,Developing low-cost electrochemical biosensor for disinfection by-product (DPB) detection in drinking water. (current)
61117c54d6f9d1d8a1249a3d,6438324105,PhD,Dr Christopher Phillips,Novel thin film solid-state energy storage technologies with rapid processing (current)
61117c55d6f9d1d8a1249a59,7028301249,PhD,Prof Johann Sienz,Methods for the efficient utilization of dynamic CAE solvers to derive appropriate topology optimization loadings for complex problems. (current)
61117c55d6f9d1d8a1249a5a,7028301249,PhD,Dr Amit Das,Prof Johann Sienz (current)
61117c55d6f9d1d8a1249a5f,6438324105,PhD,Prof David Gethin,Dr Christopher Phillips (awarded 2021)
61117c56d6f9d1d8a1249a76,7028301249,PhD,Prof Richard Johnston,Dynamic Recrystallization and Recovery Occurrence and their Correlations with Grain Size Evolution During Forging In Advanced Polycrystalline Nickel Alloys. (current)
61117c56d6f9d1d8a1249a7c,6438324105,PhD,Prof Iain Whitaker,Smart and Safe Packaging (awarded 2020)
61117c56d6f9d1d8a1249a94,7028301249,EngD,Prof Djordje Peric,Dr Amit Das (current)
61117c56d6f9d1d8a1249a98,6438324105,PhD,Dr Zhidao Xia,Prof David Gethin (awarded 2021)
61117c57d6f9d1d8a1249aae,7028301249,EngD,Prof Cris Arnold,"'Bioinspired Lightweight Structural Vehicle Design Through Advanced Correlative Microscopy'. (awarded 2021)"
61117c57d6f9d1d8a1249aaf,7028301249,EngD,Dr Neil Bezodis,Prof Richard Johnston (current)
61117c57d6f9d1d8a1249ab2,6438324105,PhD,Prof Vincent Teng,The Application Of Three Dimensional Printing Techniques For Rapid Prototyping Of Biodegradable Bone Graft Substitutes. (current)
61117c57d6f9d1d8a1249ab3,6438324105,PhD,Prof Serena Margadonna,Prof Iain Whitaker (awarded 2019)
61117c57d6f9d1d8a1249ac9,7028301249,EngD,Dr Eifion Jewell,Multiscale Deformation Modelling of Small Scale Mechanical Tests (awarded 2021)
61117c58d6f9d1d8a1249acc,6438324105,PhD,Prof Rhodri Williams,Dr Zhidao Xia (awarded 2018)
61117c58d6f9d1d8a1249acd,6438324105,PhD,Prof Vincent Teng,Development of Printable Graphene Electrochemical Biosensor for Environmental Monitoring and Medical Applications (awarded 2020)
61117c58d6f9d1d8a1249ae4,7028301249,EngD,Dr Nick Croft,Prof Djordje Peric (awarded 2020)
61117c58d6f9d1d8a1249ae7,6438324105,PhD,Prof David Gethin,Prof Vincent Teng (awarded 2017)
61117c59d6f9d1d8a1249b01,7028301249,EngD,Prof Cameron Pleydell-Pearce,Formability of polymer coated metals (awarded 2020)
61117c59d6f9d1d8a1249b04,6438324105,EngD,Prof David Gethin,Hard Carbon and Sodium Rhodizonate for Sodium-Ion Batteries«br /»«br /» (current)
61117c5ad6f9d1d8a1249b1d,7028301249,MSc,Dr Rajesh Ransing,Prof Cris Arnold (current)
61117c5ad6f9d1d8a1249b20,6438324105,EngD,Prof Serena Margadonna,Prof Serena Margadonna (current)
61117c5ad6f9d1d8a1249b38,7028301249,MSc,Dr Mark Evans,Advanced design of sports wheelchairs for tennis (current)
61117c5bd6f9d1d8a1249b3b,6438324105,EngD,Prof Amit Mehta,Extensional flows and surface flow instabilities in printing: towards improved printed electronics (current)
61117c5bd6f9d1d8a1249b58,7028301249,MSc,Prof Johann Sienz,Dr Neil Bezodis (awarded 2019)
61117c5bd6f9d1d8a1249b5b,6438324105,EngD,Dr Christopher Phillips,Prof Rhodri Williams (current)
61117c5cd6f9d1d8a1249b74,7028301249,MSc,Prof Johann Sienz,Surface texture and visual appearance of packaging steels (awarded 2019)
61117c5cd6f9d1d8a1249b77,6438324105,EngD,Prof Tim Claypole,Development of Zn0 Nanobiosensors for the direct Detection of Pathogen (current)
61117c5dd6f9d1d8a1249b91,7028301249,MSc,Prof Johann Sienz,Dr Eifion Jewell (awarded 2019)
61117c5dd6f9d1d8a1249b94,6438324105,EngD,Dr Eifion Jewell,Prof Vincent Teng (awarded 2020)
61117c5ed6f9d1d8a1249bac,7028301249,MSc,Dr Nick Croft,Predicting tearing failure in aluminium beverage can production through finite element analysis (awarded 2019)
61117c5ed6f9d1d8a1249baf,6438324105,MSc,Prof David Gethin,"'The printing of natural materials for medical applications' (current)"
61117c5fd6f9d1d8a1249bc8,7028301249,MSc,Dr Elizabeth Sackett,Dr Nick Croft (awarded 2019)
61117c5fd6f9d1d8a1249bcb,6438324105,MSc,Prof Tim Claypole,Prof David Gethin (awarded 2018)
61117c6dd6f9d1d8a1249de5,8886724476,PhD,Dr Mike Jennings,The application of SiC inverters reduces power loss on EV (current)
61117c6dd6f9d1d8a1249de6,8886724476,PhD,Dr Grazia Todeschini,Dr Mike Jennings (current)
61117c6ed6f9d1d8a1249e05,8886724476,PhD,Dr Zhongfu Zhou,Dr Grazia Todeschini (awarded 2020)
61117c6ed6f9d1d8a1249e06,8886724476,EngD,Prof Andrew Barron,Dr Zhongfu Zhou (current)
61117c6ed6f9d1d8a1249e25,8886724476,EngD,Dr Grazia Todeschini,USE OF HVDC TRANSMISSION WITHIN NIGERIAN TRANSMISSION SYSTEM: TECHNICAL AND ECONOMICAL EVALUATION. (current)
61117c6fd6f9d1d8a1249e3a,1103847708,EngD,Prof Cameron Pleydell-Pearce,Use of a Mini Coke Oven to Increase Value in Use Coking Coal Blends (current)
61117c6fd6f9d1d8a1249e3b,1103847708,EngD,Prof Geraint Williams,Prof Cameron Pleydell-Pearce (current)
61117c6fd6f9d1d8a1249e4d,2628949666,PhD,Prof Michael Edwards,Data-driven Modelling of Thermally Coupled Fluid Dynamics and Hydraulic Efficiency Optimisation in Pipe Flows (current)
61117c6fd6f9d1d8a1249e52,3562453004,PhD,Prof Robert Lancaster,Aqueous Corrosion-Fatigue of Custom 450. (current)
61117c6fd6f9d1d8a1249e53,3562453004,PhD,Dr Zak Quiney,Prof Robert Lancaster (current)
61117c70d6f9d1d8a1249e59,1103847708,EngD,Dr Elizabeth Sackett,Steel Susceptibility to Hydrogen Induced Failure (current)
61117c70d6f9d1d8a1249e5a,1103847708,EngD,Dr Elizabeth Sackett,Prof Geraint Williams (current)
61117c70d6f9d1d8a1249e6c,2628949666,PhD,Prof Rubén Sevilla,Prof Michael Edwards (current)
61117c70d6f9d1d8a1249e71,3562453004,PhD,Prof Robert Lancaster,Ceramic Matrix Composites Condition Assessment and Damage Monitoring (current)
